n_sim,gamma,mse,mse_se
1,0.1,0.01544015812834566,0.0
1,0.10009216427327419,0.013786868833460478,0.0
1,0.10018441348908107,0.011390164586817074,0.0
1,0.10027674772570727,0.012118729127142333,0.0
1,0.10036916706151167,0.009504628622435068,0.0
1,0.10046167157492526,0.009050139760190788,0.0
1,0.1005542613444514,0.004054637942013741,0.0
1,0.10064693644866575,0.017486631597433303,0.0
1,0.10073969696621637,0.007357204100997121,0.0
1,0.10083254297582392,0.00802718137626732,0.0
1,0.10092547455628148,0.009651968990539448,0.0
1,0.1010184917864548,0.009844351490811986,0.0
1,0.10111159474528233,0.009075601414661214,0.0
1,0.10120478351177525,0.0027880200425164153,0.0
1,0.1012980581650176,0.015395852358567119,0.0
1,0.10139141878416626,0.009370653656664311,0.0
1,0.10148486544845108,0.013854212791700071,0.0
1,0.1015783982371749,0.007113030576318675,0.0
1,0.10167201722971377,0.010054770830959927,0.0
1,0.10176572250551676,0.010776288968245977,0.0
1,0.1018595141441062,0.009453457150831021,0.0
1,0.10195339222507774,0.012096532284061155,0.0
1,0.10204735682810033,0.007998986042202495,0.0
1,0.10214140803291648,0.008781998859824324,0.0
1,0.10223554591934204,0.009555100815194294,0.0
1,0.10232977056726651,0.010650868113903107,0.0
1,0.10242408205665299,0.0063468227992596535,0.0
1,0.10251848046753824,0.010429648423691932,0.0
1,0.1026129658800329,0.012990696233040116,0.0
1,0.10270753837432131,0.005640128702954449,0.0
1,0.10280219803066182,0.01920275582631387,0.0
1,0.10289694492938668,0.00992869980770625,0.0
1,0.10299177915090217,0.007767720504099565,0.0
1,0.10308670077568877,0.007062579993788327,0.0
1,0.10318170988430102,0.006289857745177524,0.0
1,0.10327680655736778,0.011947488455733131,0.0
1,0.10337199087559217,0.005093259338801946,0.0
1,0.1034672629197517,0.0076597306230296565,0.0
1,0.10356262277069839,0.008230981172308128,0.0
1,0.10365807050935869,0.009737391289208502,0.0
1,0.1037536062167337,0.007267384488716106,0.0
1,0.10384922997389909,0.013249432213113685,0.0
1,0.10394494186200538,0.012407652077227656,0.0
1,0.10404074196227778,0.005771795426039944,0.0
1,0.10413663035601639,0.00796966481438783,0.0
